date,temperature,humidity,pressure,wind_speed,weather
2026-04-26,29.69,39,1009,12.52,Clouds
2026-04-27,32.71,45,1009,1.34,Clouds
2026-04-28,32.35,50,1009,3.13,Clouds
2026-04-29,33.0,45,1009,0.45,Clouds
2026-04-30,31.41,51,1010,1.77,Clear
2026-05-01,31.06,48,1011,5.36,Clouds
2026-05-02,30.99,53,1009,5.81,Clouds
2026-05-03,31.42,45,1010,7.15,Clouds
2026-05-04,31.1,56,1010,3.09,Clouds
2026-05-05,30.78,51,1010,6.26,Clouds
2026-05-06,30.82,52,1009,7.15,Clouds
2026-05-07,30.17,53,1009,4.92,Clouds
2026-05-08,30.08,55,1012,11.18,Clouds
2026-05-09,30.2,53,1011,9.39,Clouds
2026-05-10,30.56,46,1010,10.73,Clouds
2026-05-11,31.59,44,1009,10.28,Clouds
2026-05-12,31.59,41,1009,8.49,Clouds
2026-05-13,31.94,45,1007,9.39,Clouds
2026-05-14,31.75,50,1006,12.07,Clouds
2026-05-15,32.08,43,1005,12.96,Clouds
2026-05-16,30.49,56,1007,4.47,Clouds
2026-05-17,31.04,52,1007,8.05,Clouds
2026-05-18,31.09,58,1009,3.09,Clouds
2026-05-19,28.97,63,1009,11.18,Clouds
2026-05-20,29.47,62,1011,5.66,Clouds
2026-05-21,31.08,57,1009,10.28,Clouds
2026-05-22,28.99,63,1010,11.18,Clouds
2026-05-23,26.9,76,1013,4.81,Clouds
2026-05-24,29.46,56,1013,10.73,Clouds
2026-05-25,30.7,48,1012,3.6,Clouds
2026-05-26,30.63,59,1011,9.39,Clouds
2026-05-27,29.47,59,1011,8.94,Clouds
2026-05-28,29.85,60,1012,7.15,Clouds
2026-05-29,30.09,62,1011,9.83,Clouds
2026-05-30,29.71,60,1012,8.94,Clouds
2026-05-31,29.91,55,1011,8.94,Clouds
2026-06-01,30.12,55,1013,6.26,Clouds
2026-06-02,30.35,56,1012,4.12,Clouds
2026-06-03,28.67,64,1009,8.49,Clouds
2026-06-04,29.14,57,1008,14.31,Clouds
2026-06-05,28.92,59,1010,14.75,Clouds
2026-06-06,28.5,61,1011,13.41,Clouds
2026-06-07,28.14,66,1010,9.83,Clouds
2026-06-08,28.75,61,1010,17.43,Clouds
2026-06-09,28.86,59,1010,17.43,Clouds
2026-06-10,28.6,61,1011,7.19,Clouds
2026-06-11,28.56,63,1008,6.24,Clouds
2026-06-12,27.6,70,1011,3.48,Clouds
2026-06-13,28.12,70,1012,6.32,Clouds
2026-06-14,28.34,63,1010,6.64,Clouds
2026-06-15,30.06,52,1009,6.82,Clouds
2026-06-16,30.5,54,1008,5.79,Clouds
2026-06-17,29.53,59,1007,5.08,Clouds
2026-06-18,28.46,62,1012,4.12,Clouds
2026-06-19,28.66,62,1011,4.01,Clouds
2026-06-20,28.49,68,1012,2.55,Clouds
2026-06-21,29.05,64,1009,3.07,Clouds
2026-06-22,29.04,63,1009,4.17,Clouds
2026-06-23,28.04,63,1010,7.46,Clouds
2026-06-24,26.04,60,1010,6.88,Clouds
2026-06-25,28.28,62,1009,6.84,Clouds
2026-06-26,28.2,61,1009,6.22,Clouds
2026-06-27,28.99,62,1010,5.97,Clouds
2026-06-28,28.58,64,1010,5.35,Clouds
2026-06-29,29.0,58,1009,6.62,Clouds
2026-06-30,28.45,61,1009,8.38,Clouds
2026-07-01,27.99,64,1010,9.78,Clouds
2026-07-02,26.59,68,1009,8.27,Clouds
2026-07-03,27.51,66,1010,9.54,Clouds
2026-07-04,24.13,77,1010,8.23,Clouds
2026-07-05,27.37,62,1008,11.36,Clouds
2026-07-06,27.56,60,1009,8.86,Clouds
2026-07-07,26.5,68,1010,10.77,Clouds
2026-07-08,27.24,70,1009,10.68,Clouds
2026-07-09,27.36,70,1010,8.63,Clouds
